,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
117,7036.0,2076742.0,2013-02-12,4008442943,2013-01-05,159.94,11,6,56,97,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,12625.0,2076981.0,2013-02-15,4008492782,2013-01-05,21.0,10,6,56,88,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,159.0,0.0,0.0,0.0
119,4637.0,2077730.0,2013-02-27,4008457302,2013-01-05,1003.2,12,6,58,53,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,12.0,0.0,0.0,0.0
120,1166.0,2076742.0,2013-02-12,4008460002,2013-01-05,159.94,11,6,56,95,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,319.88,0.0,0.0,0.0
121,4356.0,2077778.0,2013-02-28,4008457190,2013-01-05,66.0,12,6,56,69,54.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,403.31,0.0,0.0,0.0
122,1169.0,2076742.0,2013-02-12,4008446352,2013-01-05,175.0,9,6,1,8,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,10005.0,2079123.0,2013-03-20,4008468776,2013-01-05,163.3,3,6,56,77,74.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,208.3,0.0,0.0,0.0
124,11362.0,2076742.0,2013-02-12,4008421761,2013-01-05,61.0,6,6,64,71,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,476.0,0.0,0.0,0.0
125,3814.0,2076981.0,2013-02-15,4008453390,2013-01-05,20.0,10,6,56,108,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,175.0,0.0,0.0,0.0
126,204.0,2077730.0,2013-02-27,4008431604,2013-01-05,199.51,12,6,58,56,53.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,14010.0,2079123.0,2013-03-20,4008468776,2013-01-05,163.3,3,6,56,77,74.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,208.3,0.0,0.0,0.0
128,1627.0,2077458.0,2013-02-21,4008416437,2013-01-05,67.0,5,6,56,40,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,168.0,0.0,0.0,0.0
129,5707.0,2080152.0,2013-04-04,4008490783,2013-01-05,45.0,4,6,56,18,89.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,163.31,0.0,0.0,0.0
130,12154.0,2076135.0,2013-01-31,4008404371,2013-01-05,114.0,4,6,56,38,26.0,1,1,2013.0,1.0,5.0,1,0.0,0.0,7.0,540.0,0.0,0.0,0.0
